Date,Open,High,Low,Close,Adj Close,Volume
4/3/2018,9008.95,9060.00,8955.00,9026.45,8557.32,339709
4/4/2018,9078.00,9149.40,8980.60,9013.50,8545.04,488280
4/5/2018,9050.00,9157.65,9050.00,9132.60,8657.95,236956
4/6/2018,9165.00,9230.00,9042.55,9206.20,8727.73,429514
4/9/2018,9220.00,9308.15,9184.70,9292.65,8809.69,426170
4/10/2018,9290.00,9315.45,9239.00,9273.45,8791.48,299119
4/11/2018,9290.00,9350.00,9208.55,9302.50,8819.02,318010
4/12/2018,9290.00,9290.00,9181.10,9204.45,8726.07,300797
4/13/2018,9267.00,9267.00,9106.25,9123.95,8649.75,366224
4/16/2018,9100.00,9245.00,9065.00,9232.00,8752.19,271057
4/17/2018,9241.00,9242.00,9137.55,9160.35,8684.26,342578
4/18/2018,9178.00,9227.45,9095.90,9121.50,8647.43,452854
4/19/2018,9144.00,9183.75,9068.00,9077.65,8605.86,256088
4/20/2018,9082.00,9108.15,9012.95,9025.00,8555.95,303913
4/23/2018,9039.90,9125.00,9005.95,9064.85,8593.73,302205
4/24/2018,9095.00,9142.55,9031.00,9064.65,8593.54,312103
4/25/2018,9059.00,9068.80,8908.00,8934.60,8470.24,488641
4/26/2018,8949.00,8981.00,8890.00,8946.45,8481.48,614321
4/27/2018,9015.00,9137.00,8715.10,8783.35,8326.85,1873816
4/30/2018,8790.00,8904.20,8760.30,8814.95,8356.81,497504
5/2/2018,8915.00,8998.00,8725.00,8744.50,8290.02,806846
5/3/2018,8765.00,8799.00,8700.00,8755.95,8300.88,406825
5/4/2018,8784.00,8790.00,8665.00,8678.20,8227.17,490244
5/7/2018,8693.00,8770.00,8660.00,8743.70,8289.27,342702
5/8/2018,8785.00,8806.20,8690.00,8775.20,8319.13,404969
5/9/2018,8795.00,8795.00,8705.00,8718.35,8265.23,314057
5/10/2018,8758.00,8758.00,8690.00,8704.95,8252.53,298598
5/11/2018,8738.00,8765.00,8702.05,8750.30,8295.52,264405
5/14/2018,8751.00,8760.00,8688.10,8707.00,8254.47,276620
5/15/2018,8725.00,8750.35,8639.00,8726.60,8273.05,506107
5/16/2018,8675.00,8733.45,8675.00,8695.60,8243.66,288597
5/17/2018,8725.00,8766.45,8661.20,8697.50,8245.47,379606
5/18/2018,8700.80,8725.00,8496.00,8510.95,8068.61,603507
5/21/2018,8518.00,8524.80,8255.50,8428.50,7990.45,872463
5/22/2018,8416.00,8586.40,8371.25,8560.65,8115.73,410467
5/23/2018,8560.00,8564.80,8458.20,8497.40,8055.77,399631
5/24/2018,8500.10,8518.30,8400.00,8410.75,7973.62,292331
5/25/2018,8412.00,8574.00,8395.15,8548.15,8103.88,519151
5/28/2018,8560.00,8785.00,8555.10,8709.30,8256.65,446264
5/29/2018,8718.00,8840.00,8680.00,8714.90,8261.96,665121
5/30/2018,8669.00,8669.00,8572.85,8588.20,8141.85,508262
5/31/2018,8639.00,8639.10,8515.90,8537.20,8093.50,679959
6/1/2018,8610.00,8848.40,8590.05,8808.85,8351.03,1002010
6/4/2018,8840.00,8840.00,8726.05,8749.85,8295.10,380690
6/5/2018,8750.00,8830.00,8680.00,8810.40,8352.50,400886
6/6/2018,8829.00,8870.00,8810.00,8842.35,8382.79,328784
6/7/2018,8874.00,8934.80,8865.00,8911.25,8448.11,267961
6/8/2018,8894.00,8950.00,8871.00,8932.45,8468.21,287823
6/11/2018,8960.00,9046.00,8921.50,9022.65,8553.72,337828
6/12/2018,9039.00,9065.00,8955.00,9016.75,8548.13,343452
6/13/2018,9030.00,9094.95,8943.00,8967.35,8501.29,369407
6/14/2018,8932.05,9019.95,8908.00,8958.00,8492.43,269078
6/15/2018,8995.00,8995.00,8901.00,8951.60,8486.36,496572
6/18/2018,8947.50,9050.40,8937.95,8973.45,8507.08,305144
6/19/2018,8970.00,8984.80,8820.05,8862.60,8401.99,350407
6/20/2018,8873.00,8970.00,8863.00,8948.30,8483.23,325981
6/21/2018,8978.00,8986.00,8852.95,8863.05,8402.41,313349
6/22/2018,8865.00,8887.00,8810.00,8874.90,8413.65,319027
6/25/2018,8869.00,8869.00,8780.00,8793.00,8336.00,254954
6/26/2018,8793.00,8985.35,8750.00,8931.35,8467.16,387769
6/27/2018,8935.95,9012.00,8873.00,8898.30,8435.83,501622
6/28/2018,8892.00,8894.05,8735.05,8771.30,8315.43,376404
6/29/2018,8750.30,8900.00,8750.30,8825.60,8366.91,458807
7/2/2018,8878.00,8935.00,8800.05,8821.05,8362.60,298529
7/3/2018,8825.00,8995.00,8750.00,8975.15,8508.69,375718
7/4/2018,9014.00,9249.25,8952.50,9220.80,8741.57,656141
7/5/2018,9228.00,9395.00,9225.75,9347.05,8861.26,887919
7/6/2018,9315.00,9413.95,9260.00,9317.50,8833.24,508241
7/9/2018,9395.00,9419.85,9350.00,9374.90,8887.66,331872
7/10/2018,9380.00,9545.90,9380.00,9531.00,9035.65,485745
7/11/2018,9529.00,9529.35,9361.00,9384.70,8896.95,328446
7/12/2018,9448.00,9508.00,9325.25,9347.00,8861.21,336960
7/13/2018,9408.00,9495.00,9362.25,9431.05,8940.89,511150
7/16/2018,9429.00,9498.90,9355.00,9385.30,8897.52,216426
