Date,Open,High,Low,Close,Adj Close,Volume
10/30/2018,2150.00,2151.34,2098.50,2102.61,1888.46,631350
10/31/2018,2120.00,2199.00,2070.11,2186.46,1963.77,1215870
11/1/2018,2175.00,2229.98,2175.00,2199.21,1975.22,1402560
11/2/2018,2230.00,2308.05,2220.00,2267.41,2036.47,1318660
11/5/2018,2270.10,2276.50,2237.41,2255.23,2025.53,358560
11/6/2018,2265.00,2282.73,2237.00,2255.97,2026.19,507640
11/7/2018,2270.00,2282.59,2260.01,2265.03,2034.33,52410
11/9/2018,2273.95,2273.95,2240.50,2249.52,2020.41,724590
11/12/2018,2237.00,2249.52,2182.04,2193.35,1969.96,537710
11/13/2018,2145.10,2340.00,2119.68,2324.19,2087.46,2688470
11/14/2018,2330.00,2418.40,2305.60,2324.01,2087.31,1993430
11/15/2018,2340.00,2404.20,2329.15,2394.53,2150.65,1123080
11/16/2018,2412.00,2483.00,2392.51,2473.50,2221.57,1302650
11/19/2018,2499.00,2534.00,2472.64,2489.71,2236.13,1244430
11/20/2018,2489.71,2535.00,2445.05,2459.58,2209.07,1030740
11/21/2018,2474.40,2530.00,2396.01,2421.64,2174.99,1178150
11/22/2018,2442.00,2448.00,2394.00,2410.91,2165.35,679060
11/26/2018,2416.00,2448.80,2362.66,2384.83,2141.93,765770
11/27/2018,2401.79,2403.98,2358.00,2380.75,2138.27,513890
11/28/2018,2378.00,2405.00,2304.00,2311.14,2075.74,814340
11/29/2018,2330.00,2359.60,2295.21,2352.13,2112.56,924630
11/30/2018,2350.00,2374.00,2331.00,2340.53,2102.14,864900
12/3/2018,2332.00,2389.80,2295.30,2356.73,2116.69,927780
12/4/2018,2350.50,2373.87,2330.00,2340.14,2101.79,530750
12/5/2018,2328.00,2328.00,2268.50,2279.34,2047.19,885510
12/6/2018,2277.00,2277.00,2210.00,2221.14,1994.91,1152120
12/7/2018,2240.00,2248.61,2196.34,2236.93,2009.09,962340
12/10/2018,2209.82,2259.98,2186.50,2240.49,2012.29,505070
