Date,Open,High,Low,Close,Adj Close,Volume
3/22/2018,600.00,629.00,572.00,599.05,592.91,181
3/23/2018,599.00,599.05,570.00,576.50,570.59,214
3/26/2018,577.00,577.00,551.00,562.75,556.98,1692
3/27/2018,561.00,585.00,561.00,585.00,579.00,100
3/28/2018,599.85,599.85,599.85,599.85,593.70,50
4/2/2018,599.85,599.85,569.90,570.90,565.04,272
4/3/2018,542.45,590.00,542.40,589.05,583.01,462
4/4/2018,608.95,608.95,563.00,607.00,600.77,57
4/5/2018,581.00,605.00,581.00,586.50,580.48,46
4/6/2018,557.40,605.40,557.40,562.00,556.24,213
4/9/2018,562.00,580.00,542.05,542.05,536.49,548
4/10/2018,545.00,567.95,531.00,555.65,549.95,332
4/11/2018,555.55,559.95,541.00,555.00,549.31,306
4/12/2018,580.00,580.00,570.00,570.00,564.15,94
4/13/2018,555.55,555.55,555.00,555.00,549.31,25
4/16/2018,559.95,559.95,527.30,528.35,522.93,979
4/17/2018,540.00,540.00,540.00,540.00,534.46,694
4/18/2018,555.55,557.00,515.00,534.85,529.36,46
4/19/2018,555.00,556.00,508.15,539.00,533.47,370
4/20/2018,520.00,533.95,520.00,533.95,528.47,625
4/23/2018,548.00,548.00,515.00,515.00,509.72,204
4/24/2018,533.95,539.00,530.00,536.50,531.00,104
4/25/2018,510.15,515.00,509.70,510.00,504.77,2580
4/26/2018,505.00,535.00,496.00,499.55,494.43,610
4/27/2018,500.00,501.00,500.00,501.00,495.86,75
4/30/2018,501.00,503.00,495.10,503.00,497.84,657
5/2/2018,510.00,510.00,508.00,508.00,502.79,349
5/3/2018,486.00,530.00,486.00,525.10,519.71,736
5/4/2018,530.00,548.00,530.00,540.00,534.46,408
5/7/2018,520.00,567.00,520.00,525.70,520.31,140
5/8/2018,499.70,521.00,499.70,521.00,515.66,85
5/9/2018,540.00,547.00,523.00,523.00,517.64,331
5/10/2018,523.00,523.00,500.00,500.00,494.87,37
5/11/2018,500.00,525.00,500.00,525.00,519.62,234
5/14/2018,525.00,525.00,525.00,525.00,519.62,0
5/15/2018,535.00,551.00,535.00,535.00,529.51,512
5/16/2018,559.85,559.85,545.00,545.00,539.41,181
5/17/2018,518.00,530.00,518.00,530.00,524.56,122
5/18/2018,531.00,531.00,531.00,531.00,525.55,60
5/21/2018,531.00,536.00,531.00,533.20,527.73,195
5/22/2018,533.20,533.20,533.20,533.20,527.73,182
5/23/2018,533.50,550.00,533.50,550.00,544.36,42
5/24/2018,523.00,569.95,523.00,525.80,520.41,231
5/25/2018,525.80,525.80,525.80,525.80,520.41,0
5/28/2018,529.00,552.05,529.00,552.05,546.39,359
5/29/2018,524.45,552.00,524.45,551.00,545.35,2155
5/30/2018,540.00,551.00,540.00,546.10,540.50,528
5/31/2018,540.00,545.00,519.00,535.00,529.51,2033
6/1/2018,534.95,537.00,508.25,530.00,524.56,10615
6/4/2018,525.00,525.00,525.00,525.00,519.62,45
6/5/2018,525.00,525.00,504.00,520.00,514.67,127
6/6/2018,500.00,500.00,500.00,500.00,494.87,30
6/7/2018,500.00,500.00,480.00,500.00,494.87,127
6/8/2018,510.00,510.00,484.00,485.60,480.62,555
6/11/2018,505.00,505.00,505.00,505.00,499.82,9
6/12/2018,500.00,505.00,500.00,505.00,499.82,901
6/13/2018,515.00,520.00,490.00,490.00,484.97,963
6/14/2018,513.00,513.00,484.00,484.00,479.04,28
6/15/2018,486.00,508.00,485.00,507.35,502.15,2054
6/18/2018,520.00,532.70,490.00,525.00,519.62,3064
6/19/2018,510.00,510.00,500.00,503.45,498.29,505
6/20/2018,524.95,524.95,500.00,500.00,494.87,6474
6/21/2018,500.00,525.00,490.00,497.00,491.90,132
6/22/2018,499.50,520.00,495.00,502.00,496.85,407
6/25/2018,502.00,502.00,502.00,502.00,496.85,0
6/26/2018,485.00,520.00,485.00,520.00,514.67,1099
6/27/2018,520.00,520.00,502.00,519.00,513.68,450
6/28/2018,518.00,518.00,515.00,515.00,509.72,2030
6/29/2018,515.00,539.95,495.00,519.00,513.68,113
7/2/2018,517.00,517.00,493.05,497.00,491.90,819
7/3/2018,495.00,495.00,472.15,487.95,482.95,45
7/4/2018,487.95,487.95,487.95,487.95,482.95,0
7/5/2018,496.00,500.00,490.00,500.00,494.87,32
7/6/2018,500.00,505.00,500.00,504.50,499.33,131
7/9/2018,529.00,529.70,480.00,483.35,478.39,1256
7/10/2018,475.00,507.45,459.20,507.00,501.80,207
7/11/2018,510.00,525.00,510.00,510.00,504.77,220
7/12/2018,511.00,511.00,500.50,500.50,495.37,760
7/13/2018,490.00,509.90,490.00,500.00,494.87,1055
7/16/2018,500.00,524.00,480.00,500.00,494.87,1251
7/17/2018,500.00,515.00,500.00,515.00,509.72,762
7/18/2018,490.05,515.00,490.05,500.45,495.32,271
7/19/2018,501.00,514.95,500.50,501.80,496.65,1135
7/20/2018,509.95,509.95,509.95,509.95,504.72,150
7/23/2018,519.95,535.40,499.05,533.90,528.42,5287
7/24/2018,535.40,560.00,535.00,535.00,529.51,3240
7/25/2018,560.00,560.00,520.05,543.50,537.93,1293
7/26/2018,570.00,570.00,521.00,526.45,521.05,1568
7/27/2018,526.45,533.00,505.00,513.70,508.43,738
7/30/2018,500.00,534.50,500.00,511.55,506.30,435
7/31/2018,500.00,534.90,500.00,510.00,504.77,306
8/1/2018,535.00,535.00,500.10,500.10,494.97,3228
8/2/2018,509.95,519.00,476.00,519.00,513.68,4540
8/3/2018,524.95,524.95,493.05,500.00,494.87,219
8/6/2018,500.00,500.00,480.00,480.00,475.08,1557
8/7/2018,485.00,499.95,485.00,499.00,493.88,1524
8/8/2018,495.00,495.00,495.00,495.00,489.92,200
8/9/2018,500.00,500.00,495.00,495.00,489.92,302
8/10/2018,496.50,496.50,481.10,495.00,489.92,208
8/13/2018,495.00,495.00,490.00,495.00,489.92,14003
8/14/2018,499.85,519.75,495.00,516.00,510.71,910
8/16/2018,515.00,515.00,492.00,494.00,488.93,258
8/17/2018,500.00,507.45,471.00,476.80,471.91,2631
8/20/2018,500.00,500.60,482.40,500.60,495.47,398
8/21/2018,525.60,525.60,501.20,504.75,500.77,553
8/23/2018,525.00,529.95,520.00,529.95,525.78,2056
8/24/2018,545.00,549.95,545.00,549.95,545.62,30
8/27/2018,545.00,545.00,525.00,544.00,539.71,410
8/28/2018,569.45,569.45,569.00,569.00,564.52,13
8/29/2018,565.00,565.00,540.55,559.95,555.54,158
8/30/2018,574.00,587.90,574.00,584.90,580.29,3134
8/31/2018,614.10,614.10,570.00,613.90,609.06,1286
9/3/2018,620.00,620.00,585.00,620.00,615.12,58
9/4/2018,609.00,609.00,589.00,589.35,584.71,68
9/5/2018,580.00,585.00,560.20,560.20,555.79,441
9/6/2018,560.20,560.20,555.00,555.00,550.63,102
9/7/2018,530.20,553.00,530.20,545.00,540.71,397
9/10/2018,545.00,545.00,525.00,525.00,520.86,1780
9/11/2018,530.00,551.00,521.00,551.00,546.66,600
9/12/2018,551.00,568.00,526.00,526.00,521.86,623
9/14/2018,551.00,551.80,526.00,526.00,521.86,223
9/17/2018,520.00,520.00,520.00,520.00,515.90,11
9/18/2018,500.00,500.00,500.00,500.00,496.06,936
9/19/2018,500.05,505.00,486.00,492.00,488.12,1211
9/21/2018,516.50,516.50,496.00,514.00,509.95,549
9/24/2018,512.00,512.00,488.30,488.95,485.10,1054
9/25/2018,488.00,510.00,488.00,488.05,484.21,701
9/26/2018,489.00,489.00,471.00,477.00,473.24,331
